id,province_id,name_th,name_en
260,21,สนม,Sanom
261,21,ศีขรภูมิ,Sikhoraphum
262,21,สังขะ,Sangkha
263,21,ลำดวน,Lamduan
264,21,สำโรงทาบ,Samrong Thap
265,21,บัวเชด,Buachet
266,21,พนมดงรัก,Phanom Dong Rak
267,21,ศรีณรงค์,Si Narong
268,21,เขวาสินรินทร์,Khwao Sinarin
269,21,โนนนารายณ์,Non Narai
270,22,เมืองศรีสะเกษ,Mueang Si Sa Ket
271,22,ยางชุมน้อย,Yang Chum Noi
272,22,กันทรารมย์,Kanthararom
273,22,กันทรลักษ์,Kantharalak
274,22,ขุขันธ์,Khukhan
275,22,ไพรบึง,Phrai Bueng
276,22,ปรางค์กู่,Prang Ku
277,22,ขุนหาญ,Khun Han
278,22,ราษีไศล,Rasi Salai
279,22,อุทุมพรพิสัย,Uthumphon Phisai
280,22,บึงบูรพ์,Bueng Bun
281,22,ห้วยทับทัน,Huai Thap Than
282,22,โนนคูณ,Non Khun
283,22,ศรีรัตนะ,Si Rattana
284,22,น้ำเกลี้ยง,Nam Kliang
285,22,วังหิน,Wang Hin
286,22,ภูสิงห์,Phu Sing
287,22,เมืองจันทร์,Mueang Chan
288,22,เบญจลักษ์,Benchalak
289,22,พยุห์,Phayu
290,22,โพธิ์ศรีสุวรรณ,Pho Si Suwan
291,22,ศิลาลาด,Sila Lat
292,23,เมืองอุบลราชธานี,Mueang Ubon Ratchathani
293,23,ศรีเมืองใหม่,Si Mueang Mai
294,23,โขงเจียม,Khong Chiam
295,23,เขื่องใน,Khueang Nai
296,23,เขมราฐ,Khemarat
297,23,เดชอุดม,Det Udom
298,23,นาจะหลวย,Na Chaluai
299,23,น้ำยืน,Nam Yuen
300,23,บุณฑริก,Buntharik
301,23,ตระการพืชผล,Trakan Phuet Phon
302,23,กุดข้าวปุ้น,Kut Khaopun
303,23,ม่วงสามสิบ,Muang Sam Sip
304,23,วารินชำราบ,Warin Chamrap
305,23,พิบูลมังสาหาร,Phibun Mangsahan
306,23,ตาลสุม,Tan Sum
307,23,โพธิ์ไทร,Pho Sai
308,23,สำโรง,Samrong
309,23,ดอนมดแดง,Don Mot Daeng
310,23,สิรินธร,Sirindhorn
311,23,ทุ่งศรีอุดม,Thung Si Udom
312,23,นาเยีย,Na Yia
313,23,นาตาล,Na Tan
314,23,เหล่าเสือโก้ก,Lao Suea Kok
315,23,สว่างวีระวงศ์,Sawang Wirawong
316,23,น้ำขุ่น,Nam Khun
317,24,เมืองยโสธร,Mueang Yasothon
318,24,ทรายมูล,Sai Mun
319,24,กุดชุม,Kut Chum
320,24,คำเขื่อนแก้ว,Kham Khuean Kaeo
321,24,ป่าติ้ว,Pa Tio
322,24,มหาชนะชัย,Maha Chana Chai
323,24,ค้อวัง,Kho Wang
324,24,เลิงนกทา,Loeng Nok Tha
325,24,ไทยเจริญ,Thai Charoen
326,25,เมืองชัยภูมิ,Mueang Chaiyaphum
327,25,บ้านเขว้า,Ban Khwao
328,25,คอนสวรรค์,Khon Sawan
329,25,เกษตรสมบูรณ์,Kaset Sombun
330,25,หนองบัวแดง,Nong Bua Daeng
331,25,จัตุรัส,Chatturat
332,25,บำเหน็จณรงค์,Bamnet Narong
333,25,หนองบัวระเหว,Nong Bua Rawe
334,25,เทพสถิต,Thep Sathit
335,25,ภูเขียว,Phu Khiao
336,25,บ้านแท่น,Ban Thaen
337,25,แก้งคร้อ,Kaeng Khro
338,25,คอนสาร,Khon San
339,25,ภักดีชุมพล,Phakdi Chumphon
340,25,เนินสง่า,Noen Sa-nga
341,25,ซับใหญ่,Sap Yai
342,26,เมืองอำนาจเจริญ,Mueang Amnat Charoen
343,26,ชานุมาน,Chanuman
344,26,ปทุมราชวงศา,Pathum Ratchawongsa
345,26,พนา,Phana
346,26,เสนางคนิคม,Senangkhanikhom
347,26,หัวตะพาน,Hua Taphan
348,26,ลืออำนาจ,Lue Amnat
349,77,เมืองบึงกาฬ,Mueang Bueng Kan
350,77,เซกา,Seka
351,77,โซ่พิสัย,So Phisai
352,77,พรเจริญ,Phon Charoen
353,77,ศรีวิไล,Si Wilai
354,77,บึงโขงหลง,Bueng Khong Long
355,77,ปากคาด,Pak Khat
356,77,บุ่งคล้า,Bung Khla
357,27,เมืองหนองบัวลำภู,Mueang Nong Bua Lam Phu
358,27,นากลาง,Na Klang
359,27,โนนสัง,Non Sang
360,27,ศรีบุญเรือง,Si Bun Rueang
361,27,สุวรรณคูหา,Suwannakhuha
362,27,นาวัง,Na Wang
363,28,เมืองขอนแก่น,Mueang Khon Kaen
364,28,บ้านฝาง,Ban Fang
365,28,พระยืน,Phra Yuen
366,28,หนองเรือ,Nong Ruea
367,28,ชุมแพ,Chum Phae
368,28,สีชมพู,Si Chomphu
369,28,น้ำพอง,Nam Phong
370,28,อุบลรัตน์,Ubolratana
371,28,กระนวน,Kranuan
372,28,บ้านไผ่,Ban Phai
373,28,เปือยน้อย,Pueai Noi
374,28,พล,Phon
375,28,แวงใหญ่,Waeng Yai
376,28,แวงน้อย,Waeng Noi
377,28,หนองสองห้อง,Nong Song Hong
